mac_fill,age_score,flood_pressure
2.3,0.207,0.0
2.3,0.209,0.0
2.3,0.211,0.0
2.3,0.213,0.0
2.3,0.215,0.0
2.3,0.217,0.0
2.3,0.219,0.0
2.3,0.221,0.0
2.3,0.223,0.0
2.3,0.225,0.0
2.3,0.227,0.0
2.3,0.229,0.0
2.3,0.231,0.0
2.3,0.233,0.0
2.3,0.235,0.0
2.3,0.238,0.0
2.3,0.239,0.0
2.3,0.242,0.0
2.3,0.243,0.0
2.3,0.232,0.0
2.3,0.234,0.0
2.3,0.236,0.0
2.3,0.238,0.0
2.3,0.24,0.0
2.3,0.241,0.0
2.3,0.243,0.0
2.3,0.245,0.0
2.3,0.247,0.0
2.3,0.249,0.0
2.3,0.241,0.0
2.3,0.242,0.0
2.3,0.244,0.0
2.3,0.246,0.0
2.3,0.248,0.0
2.3,0.249,0.0
2.3,0.251,0.0
2.3,0.253,0.0
2.3,0.255,0.0
2.3,0.257,0.0
2.3,0.259,0.0
2.3,0.26,0.0
2.3,0.262,0.0
2.3,0.264,0.0
2.3,0.27,0.0
2.3,0.271,0.0
2.3,0.272,0.0
2.3,0.275,0.0
2.3,0.276,0.0
2.3,0.279,0.0
2.3,0.28,0.0
2.3,0.283,0.0
2.3,0.284,0.0
2.3,0.287,0.0
2.3,0.289,0.0
2.3,0.291,0.0
