State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
121,1,7,1,"Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
122,1,7,2,"Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
123,1,7,3,"Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
124,1,7,4,"Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
125,1,7,5,"Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
126,1,7,6,"Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
127,1,7,7,"Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
128,2,0,0,"Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]",-2.8675,-3.35,-3.3578,-3.9862,EVICT
129,2,0,1,"Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
130,2,0,2,"Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
131,2,0,3,"Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
132,2,0,4,"Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
133,2,0,5,"Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
134,2,0,6,"Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
135,2,0,7,"Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
136,2,1,0,"Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
137,2,1,1,"Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
138,2,1,2,"Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
139,2,1,3,"Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
140,2,1,4,"Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
