Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
-0.0038,-0.01,-0.0548,0.0,0.0,-0.0078,-0.014
-0.0038,-0.01,-0.067,0.0,0.0,-0.0078,-0.014
-0.0038,-0.01,-0.0755,0.0,0.0,-0.0078,-0.014
-0.0038,-0.0152,-0.0755,0.0,0.0,-0.0078,-0.014
-0.0073,-0.0152,-0.0755,0.0,0.0,-0.0078,-0.014
-0.0073,-0.0152,-0.0755,0.0,0.0,-0.0123,-0.014
-0.0073,-0.0152,-0.0755,0.0,0.0,-0.0164,-0.014
-0.0073,-0.0198,-0.0755,0.0,0.0,-0.0164,-0.014
-0.0073,-0.0198,-0.0755,0.0,0.0,-0.0164,-0.0086
-0.0166,-0.0357,-0.0765,0.0,0.0,-0.0082,-0.0199
-0.016,-0.0357,-0.0765,0.0,0.0,-0.0082,-0.0199
-0.0183,-0.0357,-0.0765,0.0,0.0,-0.0082,-0.0199
-0.0177,-0.0357,-0.0765,0.0,0.0,-0.0082,-0.0199
-0.0172,-0.0357,-0.0765,0.0,0.0,-0.0082,-0.0199
-0.0163,-0.0357,-0.0765,0.0,0.0,-0.0082,-0.0199
-0.0163,-0.0357,-0.0841,0.0,0.0,-0.0082,-0.0199
-0.0157,-0.0357,-0.0841,0.0,0.0,-0.0082,-0.0199
-0.0153,-0.0357,-0.0841,0.0,0.0,-0.0082,-0.0199
-0.0176,-0.0357,-0.0841,0.0,0.0,-0.0082,-0.0199
-0.0176,-0.0357,-0.0841,0.0,0.0,-0.0125,-0.0199
-0.0171,-0.0357,-0.0841,0.0,0.0,-0.0125,-0.0199
-0.0165,-0.0357,-0.0841,0.0,0.0,-0.0125,-0.0199
-0.0187,-0.0357,-0.0841,0.0,0.0,-0.0125,-0.0199
-0.018,-0.0357,-0.0841,0.0,0.0,-0.0125,-0.0199
-0.0175,-0.0357,-0.0841,0.0,0.0,-0.0125,-0.0199
